source,target
Did you let him know yet?,I la hriattir em?
"Yes, you will be like him who takes his rest on the sea, or on the top of a sail-support.","A ni, mi tuifinriat lai taka mu ang emaw, Lawng puanzarna chhipa mu ang emaw i ni ang."
"When I made a division of the five cakes of bread among the five thousand, what number of baskets full of broken bits did you take up? They said to him, Twelve.","Sangnga zinga chhangper panga ka phel lai khan a nawi kha bawmrang engzat nge in ruh khah? a ti a. Tin, anni chuan a hnenah, Sawm leh pahnih, an ti a."
And this good news of the kingdom will be given through all the world for a witness to all nations; and then the end will come.,"Tin, he ram Chanchin Tha hi hnam zawng zawng hriattirna turin khawvel zawng zawngah hrilhin a awm ang; chu mi zawhah chuan tawpna chu a lo thleng ang."
"For every tree is judged by its fruit. Men do not get figs from thorns, or grapes from blackberry plants.","Thing tin anmahni rah theuhvah a hriat a ni. Miin hruihlingnei kungah theipui an lo ngai lo, nghardai kungah grep rah an lo ngai bawk hek lo."
"And so a hollow-minded man will get wisdom, when a young ass of the field gets teaching.",Ram sabengtung no mihringa a pian hunah Mi lawilo chuan hriatna a nei chauh vang.
Tom isn't talented,Tom hi a thiam lo
"Fair looks are a deceit, and a beautiful form is of no value; but a woman who has the fear of the Lord is to be praised.","Duhsakna hi bumna a ni a, hmêl thâtna chu engmah lo a ni. LALPA tihtu hmeichhia erawh chu fak a ni ang."
Who gave them to you?,Tuin nge pe che?
"Who, when they had put questions to me, were ready to let me go free, because there was no cause of death in me.","Tin, anni chuan mi chhuahchhal zawhin thihna khawp meuh ka chungah engmah a awm loh avangin thlah mi tum a."
I knew Tom,Tom ka hrechiang
Don't ask me.,Min zâwt suh.
And from before the opening of the doorway to before the inner covered way of the doorway was fifty cubits.,"Tin, kawngka in pawn ta ber ațanga kawngka in sumhmun chhûngril ber thleng chuan tawng sawmnga a ni."
You've lost weight.,I thau tawh a ni.
They've already won,An chak tawh a ni
It's so loud,A ring lutuk
She has done what she was able: she has put oil on my body to make it ready for its last resting-place.,A tih theih tawk a ti a ni; ka taksa hi phum turin a lo hnawih lawk a nih hi.
Aren't you excited,I phur lo em ni
That you made for yourself an arched room in every open place.,"hmun langsarte i in siam a, kawtthlêr tinah hmun sângte chu i tan i sa a."
"Then loudly the feet of the horses were sounding with the stamping, the stamping of their war-horses.","Tichuan sakawrte chu an per ta tlut tlut a, Sakawr chakte chu an zuan an zuan avângin."
"But the Lord has taken you out of the flaming fire, out of Egypt, to be to him the people of his heritage, as you are today.","LALPA chuan a mite, a ro ni turin thir rawhtuina ata, Aigupta ram ata chu a hruai chhuak zawk che u a ni, tuna in nih ang hi."
Every tree which does not give good fruit is cut down and put in the fire.,"Thing tin rah tha lo apiang chu an kit a, meiah an paih thin."
"Talking against him secretly in their tents, they did not give ear to the voice of the Lord.","An puan inahte chuan an phunnawi ta zawk a, LALPA aw chu an ngaithla duh lo va."
So Eleazar and Moses did as the Lord had given orders to Moses.,Tichuan LALPAN Mosia thu a pêk ang chuan Mosia leh puithiam Eleazara chuan an ti a.
"In the future life, when they come back from the dead, whose wife will she be? for the seven had her for a wife.","Thawhleh hunah chuan a tu bera nupui nge ni ang? an pasarih chuan nupuiah an nei theuh si a, tiin an zawt a."
"Making signs with his eyes, rubbing with his feet, and giving news with his fingers;","A mit a siai a, a kein thu a sawi a, A kut zungtangin a zaizir thin."
Is there any zakuska?,Zakuska a awm em?
I told her straight.,Ka hrilh nghal a.
So Jehoiakim went to rest with his fathers; and Jehoiachin his son became king in his place.,"Chutichuan Jeoiakima chu a i leh pute hnênah a muhil a; tin, a fapa Jeoiakina chu a aiawhin a lal ta a."
"And the hare, because the horn of its foot is not parted in two, is unclean to you.","Tin, zupui, thialret chu a thial naa, mahse a tin a kak loh avangin; in tan a bawlhhlawh a ni."
You'll be surprised.,Mak i ti hle ang.
For your mercy is higher than the heavens: and your unchanging faith than the clouds.,"I ngilneihna chu van khum khawpin a nasa si a, I thutak chuan van dumte khi a tawng hial bawk a."
You're really nice,I fel takzet a ni
"Where there is much talk there will be no end to sin, but he who keeps his mouth shut does wisely.","Thu tam takah chuan a bawhchhiatna a awm thin a, A ka sum thei mi erawh chuan fing takin a ti thin."
"Had authority over the transport workers, giving directions to all who were doing any sort of work; and among the Levites there were scribes and overseers and door-keepers.","A phurha phur mite hotu pawh an ni a, hna tinreng thawktute thawh tûr relbawltu an ni: lehkhaziaktute, hotu te, kawngkhâr vêngtute chu Levi mite zinga mi an ni."
Do you still have a headache,Lu na i la nei em
They've fired him,An ban tawh a ni
They don't have a shed.,Chhuk an nei lo.
"But Peter said, May your money come to destruction with you, because you had the idea that what is freely given by God may be got for a price.","Nimahsela Peteran a hnenah, I tangka hi i boral rualin boral ve rawh se, Pathian thilpek tangka suma lei i tum avangin."
The memory of my song comes back to me in the night; my thoughts are moving in my heart; my spirit is searching with care.,"Zanah ka ngaihtuah neuh neuh a, Ka dawn vêl a, ka inzawt thin a; Ka thlarau pawhin thahnemngai takin a zawng a."
And the time Solomon was king in Jerusalem over all Israel was forty years.,Solomonan Israel-ho zawng zawng chunga Jerusalem khuaa ro a rel chhûng chu kum sâwmli a ni.
"For then I might have gone to my rest in quiet, and in sleep have been in peace,","Chutin ka mu ang a, ka reh riai tawh tûr; Ka muhiil ang a, ka chawl tawh tûr:"
Does it work?,A theih em?
Be brave,Huai rawh
"Because, she said to herself, if I may but put my hand on his robe, I will be made well.","A puan hmawr chauh pawh dek ila, tidamin ka awm mai ang, tih a rilruk a ni."
I ran,Ka tlan tawh
Under him are sharp edges of broken pots: as if he was pulling a grain-crushing instrument over the wet earth.,A hnuai lampangte pawh lampei hriam tak ang a ni a; Diakahte chuan buhchil khawl ang maiin a bawk a.
Let's sing,Hla sa ang
"Kain, Gibeah, and Timnah; ten towns with their unwalled places.","kain te, Gibea te, Timna te; khawpuite chu khawperte nen khaw sawm a ni."
They're Canadians,Canada mi an ni
They defended themselves,An inveng a
I didn't pass the test.,Test ka pass lo.
It's very personal,Mimal tak a ni
I'm over you.,I chungah ka awm.
But hearing these words the young man went away sorrowing: for he had much property.,"Tlangval erawh chuan chu thu chu a hriatin lungngai takin a kal bo ta a, sum tam tak nei mi a nih avangin."
"And took away all the stored wealth from the house of the Lord, and from the king's house, and all the gold body-covers which Solomon had made.","LALPA ina rote leh lal ina rote chu a la a, a vai chuan a la ta vek a: tin, Solomona rangkachak phaw siam zawng awngte chu ala tel vek a."
"The wrath of God came on them, and put to death the fattest of them, and put an end to the young men of Israel.","Chu mi lai tak chuan Pathian thinurna chu an chungah a chho va, An mi nalh nalhte thenkhat a that a, Israel tlangvâlte chu an vawthlu hlawm a."
Who went with him when he was in Galilee and took care of him; and a number of other women who came up with him to Jerusalem.,"chung chu Galili rama a awm lai a, amah zuia a rawng bawlsak thinte chu an ni, hmeichhe dang tam tak, Jerusalem khuaa ama ruala chho vete chu an tel bawk a."
They will assist us.,Min pui ang.
Is this a cat or a dog?,Hei hi ui nge ui?
"I sent you to get in grain which you had no hand in planting: other men did that work, and you take the reward.","In thawhrim loh at turin ka tirh che u kha; mi dangin an thawk a, nangnin an thawhsa chu in chhunzawm a ni, a ti a."
We won.,Kan chak.
"And Jephthah took an oath to the Lord, and said, If you will give the children of Ammon into my hands,","Tin, Jephthan LALPA hnênah chhia a chham a, Amona thlahte hi ka kuta mi pêk takmeuh chuan,"
Give me teaching and I will be quiet; and make me see my error.,"Mi zirtir ula, ka ngawi ang e; Ka bona lai mi hriattir rawh u."
They did not believe me.,Min ring lo.
I'm loaded,Peih ka ni ta
I caught it,Ka man e
"And four times they sent to me in this way, and I sent them the same answer.","Tin, chutiang hlir chuan vawi li thu min rawn thawn a; chutiang hlir chuan ka chhâng bawk a."
"Foolish men, because of their sins, and because of their wrongdoing, are troubled;","Mi âte chu an bawhchhiatna avâng leh, An khawlohnate avângin an intihreawm thin a."
I shouted,Ka au a
We have water enough,Tui kan nei tawk
"Who is like a newly married man coming from his bride-tent, and is glad like a strong runner starting on his way.","Chu ni chu mo neitu tûr a pindan ata chhuak ang chu a ni a, Mi chak tak angin a tlanna kawng a tlan tûr chu a hlim thin."
I don't swear,Ka tiam lo che
You're a reporter,Reporter i ni a
"See, in every common saying about you it will be said, As the mother is, so is her daughter.","Ngai rawh, thufing tawi hmang apiangin he thufing tawi hi an hmang ang,'A fanuin a nu a chhun' tih hi."
"All this, said David, the design for all these things, has been made dear to me in writing by the hand of the Lord.","Davida chuan, Hengte hi tih dan tûr rem a ruat sa tichiang tûra LALPAN ama kut ngeia a ziak ang kha a ni, a ti a."
You didn't show up.,I inlan lo.
"The grace of our Lord Jesus Christ, and the love of God, and the harmony of the Holy Spirit, be with you all.","Lalpa Isua Krista khawngaihna te, Pathian hmangaihna te, Thlarau Thianghlim pawlna te chu in zaa hnenah awm rawh se."
"You're not Tom, are you?",Tom i ni lo maw?
"Let them be: they are blind guides. And if a blind man is guiding a blind man, the two will go falling into a hole together.","Anni chu pawisa suh u; hruaitu mitdel an ni. Tichuan, mitdelin mitdel vek a hruai chuan khuarkhurumah an tla dun ang, a ti a, a chhang a."
We do not accept tips.,Tips kan pawm lo.
He's loaded,A khat liam hlê
"For I have come to put a man against his father, and the daughter against her mother, and the daughter-in-law against her mother-in-law:","Mi, a pa dotir turin, fanu a nu dotir turin, mo a pi dotir turin lo kal ka ni asin."
"Let all my wrongdoing be washed away, and make me clean from evil.","Ka khawlohnate hi mi silfaisak var la, Ka sual hi mi thlenfaisâng ang che."
"And when Hezekiah saw that Sennacherib had come for the purpose of fighting against Jerusalem,","Tin, Senakeriba a lo thawk a, Jerusalem rawn bei a tum tih Jezekian a hriat chuan,"
"Keep in mind those who were over you, and who gave you the word of God; seeing the outcome of their way of life, let your faith be like theirs.","In hotu, Pathian thu lo hrilhtute che u chu hre reng ula, an awm dana thil chhuak chu ngaihtuahin an rin dan zir rawh u."
"For in the days of David and Asaph in the past, there was a master of the music, and songs of blessing and praise to God.","Hman laia Davida leh Asapha dam lai chuan hla sa pâwl hotu an awm thin a, Pathian fakna leh lawmna hlate an sa thin a ni."
What is he learning,Eng nge a zir
"And after burning all their towns and all their tent-circles,","An awmna khua zawng zawng te, an riahhmun zawng zawngte an hal vek a."
"Then Zedekiah said to Jeremiah, Let no man have knowledge of these words, and you will not be put to death.","Tin, Zedemia chuan Jeremia hnênah, Heng thute hi tuman hre suh se, tichuan i thi lo vang."
"Every oath, and every undertaking which she gives, to keep herself from pleasure, may be supported or broken by her husband.","Thutiam emaw, intiamkamna emaw reng reng a pasalin a remtihpuiin a țhiatsak thei bawk a ni."
And the open spaces of the town will be full of boys and girls playing in its open spaces.,"Tin, kawtthlêra infiamin khawpui kawtthlêrte chu Hmeiche naupang leh mipa naupangin An la khat nuai nuai ang."
I loved them both,An pahnih hian ka hmangaih em em a
"And, after preaching the word in Perga, they went down to Attalia;","Tin, Perga khuaa thu an hril zawhin Attalia khuaah an zuk kal a;"
"When the evil-doer comes, a low opinion comes with him, and with the loss of honour comes shame.","Suahsualna a lo awmin hmustina pawh a lo awm thin, Mualphona a lo awin zilhhauna."
"Then he took his place in front of the altar of the Lord, all the men of Israel being present,","Tin, LALPA maichâm bulah Israel pungkhawm zawng awng hmuhah chuan a ding a, a ban a phar a,"
"The silver is mine and the gold is mine, says the Lord of armies.","Tangkarua hi ka ta a ni a, rangkachak hi ka ta a ni, tih hi sipaihote LALPA thu chhuak a ni."
"God has not put away the people of his selection. Or have you no knowledge of what is said about Elijah in the holy Writings? how he says words to God against Israel,","Pathianin a mi hriat lawkte chu a paih thla lo ve. Pathian Lehkha Thuin Elija thu a sawi hi in hre lo vem ni? Ani chuan Israel mite chung thu Pathian hnenah a thlen a,"
I am getting weak!,Ka chak lo chho zel a!
"And death came to Haran when he was with his father Terah in the land of his birth, Ur of the Chaldees.","Tin, Harana chu a pianna rama, Kaldai-ho khua Ur-ah, a pa Tera hmaah chuan a thi a."
They are curious.,An hriat duh hle.
"They go rushing on like reed-boats, like an eagle dropping suddenly on its food.","An kal liam a, lawng chak tak angin, Muipui tum nei bir angin.,"
It's complex,A khirhkhân a ni
"And this is the witness of John when the Jews sent priests and Levites from Jerusalem to him with the question, Who are you?","Tin, Judaten, Tunge i nih?tia zawt tura Jerusalem khua ata a hnena puithiamte leh Levia chia mite an tirh lai khan heng hi Johana thu lo hriattir chu a ni:"
"So put yourselves under the authority, not for fear of wrath, but because you have the knowledge of what is right.","Chuvangin thinur hlauh vang chauh ni lovin, i chhia leh tha hriatna avang pawhin roreltu thu thuin i awm tur reng a ni."
He's a nerd,Mimawl a ni
"The word about Arabia. In the thick woods of Arabia will be your night's resting-place, O travelling bands of Dedanites!","Arabia ram chunga phur rit chu. Aw Dedan-ho khualzin pâwl tinte u, Arabia rama ramhnuaiah in riak ang."
They don't trust you,An ring lo che
The sons of God saw that the daughters of men were fair; and they took wives for themselves from those who were pleasing to them.,Pathian fapate chuan mihring fanute chu hmêl tha takin an hmu a; tichuan an duhzâwng apiangte chu nupuiahte an lo nei ta thîn a.
Birds sing,Savate an hram
You burnt nothing.,Engmah i hal lo.
"And Sheshan gave his daughter to Jarha, his servant, as a wife; and she had Attai by him.","Tin, Sesana chuan a fanu chu a chhiahhlawh Jara chu nupuiah a neihtir a; tin, Ataia a hrinsak a."
"But the women had the fear of God, and did not do as the king of Egypt said, but let the male children go on living.","Nimahsela nau chhar mite chuan Pathian an tih a, tichuan Aigupta lal thupêk ang chuan an ti duh lo va, mipa fate chu an humhim ta zêl zâwk a."
So I have made an oath to the family of Eli that no offering of meat or of meal which they may make will ever take away the sin of his family.,"Chuvangin Elia chhûngkaw hnênah chuan Elia chhûngte bawhchhiatna chu inthawinain emaw, thilhlanin emaw, engtikahmah tihkian theih ani lo vang tiin chhia ka cham tawh a ni, a ti a."
I see a lion,Sakei ka hmu
I'm a businessman,Sumdawng ka ni a
"And Shema was the father of Raham, the father of Jorkeam, and Rekem was the father of Shammai.","Tin, Semann Jorkeama pa Rahama a hring a; tin, Rekeman Samaia a hring a."
"Then the Hebrews who had been with the Philistines for some time, and had gone up with them to their tents, turning round were joined to those who were with Saul and Jonathan.","Chutichuan chung lai ram vela mi riahhmuna han kal ve, tun hma lama Philistia-ho ama tang Hebrai mite pawh chu Suala leh Jonathana hnêna awm Israel mite lamah chuan an lo pakai leh ta a."
"And put them all on the hands of Aaron and of his sons, to be waved for a wave offering before the Lord.","tin, chûng chu Arona kut le a fapate kut ah chuan i dah vek tur a ni a, LALPA hmaa thên thil hlan a tân i thên tur a ni."
I don't laugh very often.,Ka nui vak lo.
Were you in the military?,Sipaiah i awm em?
I called a friend.,Ka thianpa pakhat ka call a.
"And at the door of the House of the Tent of meeting, he put the altar of burned offerings, offering on it the burned offering and the meal offering, as the Lord had given him orders.","Tin, inbiakna puan in biak bûk kawngka bulah chuan halrala thilhlanna maicham a chhung a, a chhûngah chuan halral thilhlan leh ei tur thilhlan a hlan a; LALPAN Mosia thu a pêk ang khan."
"How, when anyone came to a store of twenty measures, there were only ten: when anyone went to the wine-store to get fifty vessels full, there were only twenty.",khâng hun lai zawng zawng khân buh tehkhâwng sawmhnih tling âwm tak chhûn khâwmnaa mi a lo kalin sawmhnih chauh a lo tling țhîn.
"Let your ear be bent down for hearing my words, and let your heart give thought to knowledge.","I beng chhi la, mi fing thu ngaithla rawh; Tin, i thinlung chu ka finna dâwn nân hmang rawh."
She doesn't want to have children.,Fa neih a duh lo.
Don't come near the light!,Eng hnaih suh!
Against the wall,Bang chungah chuan
You are wandering,I vakvai a ni
You're a competitor,Inelna neitu i ni
"Let your land be worked with the plough, O daughter of Tarshish; there is no longer any harbour.","Aw Tarsis fanu, Nile lui angin i ramah chuan luang liam rawh; i kawnghrenna rêng rêng a tawm tawh loh hi."
Are we lost?,Kan bo em?
There were ninety-six apples on the outside; the number of apples all round the network was a hundred.,"Tin, a pangah chuan pawmgranet sawmkua leh paruk a awm a, a vêla a cheimawina pawmgranet zawng zawng chu zakhat a ni."
"Don't cry, she said.","Tap suh, a ti a."
"With your arm you have made your people free, the sons of Jacob and Joseph. (Selah.","I banin i mite chhan chhuak a, Jakobha leh Josefa fate chu. Selah"
We'll scream,Kan au vak ang
Don't peek,Melh suh
They haven't come back yet,An la rawn haw lo
"For their thoughts were bitter against you: they had an evil design in their minds, which they were not able to put into effect.","I chungah khan thil sual tih an tum si a; Thil sual an ngaihtuah chhuak a, an hlen thei si lo."
"Give water to him who is in need of water; give bread, O men of the land of Tema, to those in flight.","Tuihal hnênah chuan tui an rawn la a, tema rama awmte chuan an chawin tlan bote chu an hmuak a."
He is the master of this house.,He in luahtu a ni.
We got a little bored with each other.,Kan in bo deuh a.
Then all the king's wise men came in: but they were not able to make out the writing or give the sense of it to the king.,"Tichuan lal mifingte zawng zawng chuan lo lût a; mahse ziak chu an chhiar thei lo va, a hrilhfiahna lah lal an hriattîr thei hek lo."
So do not give up your hope which will be greatly rewarded.,"Chutichuan, in rinna lawmman chu paih bo suh u, lawmman ropui tak a nei dawn si a."
I have a safe resting-place for my feet; I will give praise to the Lord in the meetings of the people.,Ka ke hi hmun zawl takah a ding a; Inkhawmnaahte chuan LALPA chu ka fak ang.
Am I interrupting,Ka titawp em
"But the noble-hearted man has noble purposes, and by these he will be guided.","Mi țha erawh chuan dik takin thil a ti a, thu dik a tan tlat țhin."
It's a really cool car,Car cool tak a ni
And the time when David was king in Hebron over the people of Judah was seven years and six months.,Davidan Hebron-a Juda chite chunga ro a lo rêlna chu kum sarih le thla ruk ani tawh a.
I'll take it,Ka la dawn
"And I saw how that horn made war on the saints and overcame them,","Tin, ka en reng a, chu ki ngei chuan mi thianghlimte chu a do va, a hneh a;"
I'm starting to go bald.,Ka bald tan ta.
Their throat is like an open place of death; with their tongues they have said what is not true: the poison of snakes is under their lips:,An hrawk chu thlan inhawng a ni a; An leiin bumna thu an sawi a An kam chhungah rul tur a awm a.
So Joshua made stone knives and gave the children of Israel circumcision at Gibeath-ha-araloth.,"Tin, Josuan meilung chemte chu a siam a, Israel thlahte chu vun hmawr tlângah serh a tansak a."
"And Stephen, full of grace and power, did great wonders and signs among the people.","Tin, Stephana chu ngilneihna leh thiltihtheihnain a khat a, mi zingah thilmak leh chhinchhiahna ropui tak a ti thin a."
"A servant who does wisely will have rule over a son causing shame, and will have his part in the heritage among brothers.","Chhiahhlawh fing taka che chuan fapa, mualphona thlentu chungah chuan ro a rêl ang a, Unau ro zingah chanvo a nei ang."
"For he is the Yes to all the undertakings of God: and by him all the words of God are made certain and put into effect, to the glory of God through us.","Pathian thutiamte chu engzat pawh ni se, amahah chuan A ni tih chu a awm si a; chutichuan amah avang pawhin Amen tih chu a awm a ni, keimahni avanga Pathian ropuina turin."
You seem mad,I ât hmêl
I have eaten enough,Ka ei tling tawh
"They are not in heaven, for you to say, Who will go up to heaven for us and give us knowledge of them so that we may do them?","'Kan hriata kan zawm theihna turin tunge vanah min kalsak ang a, min han laksak ang?' tih turin vana mi an ni lo va,"
I was extremely tired.,Ka chau hle mai.
"And the sea-force of Hiram, in addition to gold from Ophir, came back with much sandal-wood and jewels.","Tin, Hirama lawngrual, Ophir atanga rangkachak va phurte pawh chuan Ophir atangin almug thing tam tak leh lunghlute an rawn phur a."
"For the Lord made Judah low, because of Ahaz, king of Israel; for he had given up all self-control in Judah, sinning greatly against the Lord.","Juda lal Ahaza khan Judate dik lo takin a timualpho fo va, LALPA chungah thil sual nasa tak a tih avâng khan LALPAN Judate chu a tilawm a ni."
Are you calling it a night?,Zan i ti em ni?
"When she had news of the things which Jesus did, went among the people coming after him, and put her hand on his robe.","chu mi chuan Isua chanchin thute chu a lo hria a, a hnunga mipui zingah chuan a lo kal a, a puan chu a dek a."
Did you sing?,I zai thiam kha?
"Their face is blacker than night; in the streets no one has knowledge of them: their skin is hanging on their bones, they are dry, they have become like wood.","An landan lungalhthei aiin a dum zawk a, kawtthlêahte chuan hriat an ni lo; An vun chu an ruhahte a bet a, hmawlh angin a ro va."
You are rude,I hawihhâwmlo
"Among all my troubled thoughts, your comforts are the delight of my soul.",Ka rilrua ngaihtuah tam tak ka neih lai chuan I thlamuannate chuan ka nunna hi a tihlium thin.
He was alone,Amah chuah a ni
"His memory is gone from the earth, and in the open country there is no knowledge of his name.","Lei ata a hriat rengna a boral ang a, Kawtthlêrah hming a nei tahw lo vang."
"And these are the generations of Esau, the father of the Edomites in the hill-country of Seir:","Tin, hêng hi Seir tlânga Edom-ho thlahtu Esauva thlahte chu an ni:"
And your strength will be used up without profit; for your land will not give her increase and the trees of the field will not give their fruit.,"tin, in tha in seng thlawn mai mai a ni ang: in ram chuan thil a hawntir lo vang a, rama thingte chuan rah an chuah hek lo vang."
Let's join hand in hand.,Kut inkawp ila.
And he did evil because his heart was not true to the Lord.,LALPA zawn nân a rilru a hman loh avângin thil tha lo a ti a.
It'll happen,A lo thleng dâwn
"Then Jonathan and David made an agreement together, because of Jonathan's love for David.","Chutichuan Jonathana leh Davida chuan thu an thlung a, ama nunna ang chiaha a hmangaih avângin."
"Great salvation does he give to his king; he has mercy on the king of his selection, David, and on his seed for ever.","Ani chuan chhandamna ropui tak a lal siam hnênah a pe thin a; A hriak thiha chungah, Davida leh a thlahte chun gngeiah chuan, Kumkhuain a ngilneihzia a lantir ang."
And I saw a round cover of lead lifted up; and a woman was seated in the middle of the ephah.,"Suan talent khata rit a chhin chu a hawng a, bâwm chhûngah hmeiche pakhat a țhu a."
It stinks.,A rimchhia.
"And the Lord said, Take off the shoes from your feet, for the place where you are is holy.","Tin, Lalpa chuan a hnenah, ‘I kephah ata i pheikhawk kha phelh rawh; i dinna hmun kha lei thianghlim a ni e."
"Let Deacons be husbands of one wife, ruling their children and their houses well.",Kohhranho rawngbawltute chu an fate leh anmahni in chhung khawsak rel felin nupui pakhat nei ni rawh se.
You could've been happy.,I hlim thei ang.
I don't choose you.,Ka thlang lo che.
It was exhausting,A hahthlak hle mai
"Let him not see the rivers of oil, the streams of honey and milk.","Luipuite chu a thlir lo vang a, Khawizu leh bawnghnute khala luang luite chu,"
And the churches of Judaea which were in Christ still had no knowledge of my face or person:,"Nimahsela,Judai ram kohhranho Kristaa awmte hmelhriat ka la ni lo ta fo va."
"Hey, wake up!","Hei, harh rawh"
"And when he had seen the vision, straight away we made the decision to go into Macedonia, for it seemed certain to us that God had sent us to give the good news to them.","Tin, chu mang chu a man zawh veleh Makedonia ramah chuan kal kan tum ta nghal a, an hnena Chanchin Tha hrilah Pathianin min ko tih kan hria a."
kidney disorder,Kal thalo
"The disciple is not greater than his master, but everyone whose learning is complete will be like his master.",Zirtir chu a zirtirtu chungah a awm lo; nimahsela mi tin an zir zawhin an zirtirtu angin an awm ang.
"Unleavened cakes are to be your food through all the seven days; let no leavened bread be seen among you, or any leaven, in any part of your land.","Ni sarih chhûng chuan chhang dawidim telh rêng rêng chu a awmin awm hlek suh se, in awmna hmunah rêng rêng dawidim pawh a awmin awm hlek suh se."
"Ah Lord God! see, you have made the heaven and the earth by your great power and by your outstretched arm, and there is nothing you are not able to do:","Aw LALPA pathian, ngai rawh, i thiltihtheihna nasa leh i kut pharin lei leh van i siam ta a; i tan thiltih harsa lûtuk a awm rêng rêng lo va:"
They are round me all the day like water; they have made a circle about me.,Chung chuang nilengin tui angin mi vêl a; Mi hual vêl hlawm a.
"For the Lord says, As for the unsexed who keep my Sabbaths, and give their hearts to pleasing me, and keep their agreement with me:","Ka chawlhnite serha, ka lawmzawng thilte thlanga, ka thuthlung pawm tlattu mi tilrehte chungchang thu-ah chuan LALPAN heti hian a ti si a:"
It was superficial,A chunglam a ni
"He who made them go through the deep waters, like a horse in the waste land?","An inchhuih lohna tûra tui thuk taka, thlalêra sakawr hruai anga anmahniho hruaia kaitu kha khawiah nge?"
And Ahaz was the father of Jehoaddah; and Jehoaddah was the father of Alemeth and Azmaveth and Zimri; and Zimri was the father of Moza;,"Tin, Ahazan Jehoada a hring a; tin, Jehoadan Alemetha leh Azmavetha leh Zimriaahring a; tin, Zimrian Moza a hring a;"
For this reason pride is round them like a chain; they are clothed with violent behaviour as with a robe.,Chuvangin chapona chuan khaidiat angin an nghawng a vêl a; Nunrawnna chuan silhfen angin a tuam a.
He bought a Wii U.,Wii U a lei a.
For truly my words are not false; one who has all knowledge is talking with you.,"Ka thu a daw hauh lo ve, Hriatna famkim nei chu i kiangah a awm hi."
"And David was angry because of the Lord's outburst of wrath against Uzzah: and he gave that place the name Perez-uzzah, which is its name to this day.","Tin, LALPA chu Uza chnga a tuan tak avângin Davida chu a thinur a, chu mi hmun chu Perez-uza a vuah a, tun thleng hian a la ni ta reng a."
Do you guys need anything?,In mamawh em?
We can say that.,Chutiang chu kan sawi thei a ni.
Carry this.,Hei hi pai rawh.
"But if you go into a town where they will not have you, go out into the streets of it and say,","Khua in luhna apiangah an lawm loh che u erawh chuan, an kawtthlerah kal chhuak ula,"
I don't snore,Ka hnar ngai lo
I can take it.,Ka la thei e.
"If he puts out his hand to take, by whom may it be turned back? who may say to him, What are you doing?","Ngai teh, a la mai a, tunge khap thei? Eng nge i tih, tunge ti ang le?"
Don't try to deny it.,Hnial tum suh.
We don't get on well with each other.,Kan inrem tha lo.
Stay there,Khatah awm rawh
Tom will pay,Toma'n a pe dawn
We're not taking questions.,Zawhna kan la lo.
"And he came and was living in a town named Nazareth: so that the word of the prophets might come true, He will be named a Nazarene.","khaw pakhat Nazaret an tihah chuan a va awm ta a: Ani chu ‘Nazaret mi’ an ti ang, tia, zawlneite kaa an sawi kha a lo thlen theih nan."
"And Edom said, You are not to go through my land, for if you do I will come out against you with the sword.","Tin, Edoma chuan a hnenah Mi pal tlâng tur ani lo, mi pal chuan abei tur chein khandaih nen ka lo thawk ang, a ti a."
"For his heart was fixed on the Lord, not turning from his ways, and he did his orders which the Lord gave to Moses.","LALPA chu a vuan tlat a, amah a zui ch a bang du lo va, a thupêk LALPAN Mosia a pêkte chu a zawm a."
"In those days I, Daniel, gave myself up to grief for three full weeks.","Chûng nîte chuan, kei Daniela chu hapta thum pumhlûm lusûn angin ka awm a."
"For you have said, The Lord has given us prophets in Babylon.","LALPA chuan Babulon ramah pawh hian zâwlnei min dinsak a, in ti si a."
Let's get it open.,I hawng ang u.
The stone which the builders put on one side has become the chief stone of the building.,In satute lung duh loh kha A kila lung tangkai ber alo ni ta.
We're still eating,Kan la ei reng a
Let us out,Kan lo chhuak
And a great number went after him; and he made them well there.,"tin, mipui tam takin an zui a; chutah chuan anmahni chu a tidam ta a."
All these came together in the valley of Siddim (which is the Salt Sea.,Chûngho zawng zawng chu Siddim ruamah chuan an tang tlâng a chu mi ruam chu Tuifinriat Al a ni ta
We didn't go downstairs.,Kan chhuk lo.
Tom promised,Tom a intiam
"No one is to take, on account of a debt, the stones with which grain is crushed: for in doing so he takes a man's living.","Buh rawtsawmna emaw, a chung lam lung emaw tumah in hrensak tur ani lo, mi nunna hrensk a ni dawn si a."
I hear Tom's voice.,Tom-a aw ka hria.
I'm a dancer,Lam thiam ka nia
"See now, I have put my cause in order, and I am certain that I will be seen to be right.","Ngai teh u, ka thu ka rem fel tawh a, Thiam ka chang ang tih ka hria."
Lal a ni em? Pathian a ni em?,A king? A god?
"Then take a look at our faces and the faces of the young men who have food from the king's table; and, having seen them, do to your servants as it seems right to you.","Tin i hmâa kan lan dânte leh lal châw tuihmêl ei tleirâwlte landan chu tehkhin nisela, tin, i hmuh dan angin i chhiahhlawhte chungah hian ti ang che,’’ a it a."
"And Midian was stronger than Israel; and because of the Midianites, the children of Israel made holes for themselves in the mountains, and hollows in the rocks, and strong places.","Tin, Midian-hote chuan Israel-hote chu an lo hmin ta a: tichuan Midian-hote avâng chuan Israela thlahte tlângah khur te, puk te, kulh te an siam a."
